user_id,username,post_id,title,view_count,average_rating,upvote_count,interaction_type,video_link,category_id,category_description,Mood
9,mike,26,Be Brave. Be Different,57,26,44,liked,https://video-cdn.socialverseapp.com/michael_791cac36-1c19-4631-8caf-a0b8c13adfa3.mp4,2,All the best vibes!,Happy
9,mike,33,Enough is enough,74,19,41,liked,https://video-cdn.socialverseapp.com/afrobeezy_6f521267-2916-47e0-a744-b35d8dedf607.mp4,2,All the best vibes!,Happy
1,afrobeezy,36,Knowledge will liberate you,83,30,73,liked,https://video-cdn.socialverseapp.com/afrobeezy_9e478b1b-b8c5-4345-9360-d25ed1aeeb30.mp4,2,All the best vibes!,Happy
16,michaeldadziie,36,Knowledge will liberate you,83,30,73,liked,https://video-cdn.socialverseapp.com/afrobeezy_9e478b1b-b8c5-4345-9360-d25ed1aeeb30.mp4,2,All the best vibes!,Happy
9,mike,52,Matthew 25:29,103,28,81,liked,https://video-cdn.socialverseapp.com/mike_78b56afc-3c72-4754-b4d1-8e09b279d970.mp4,2,All the best vibes!,Happy
19,johntest,50,LIVE!,32,21,25,liked,https://video-cdn.socialverseapp.com/mike_0bef85ac-bac3-48f8-9e0e-19213a8a5528.mp4,2,All the best vibes!,Happy
19,johntest,59,push through the pain 🫡,75,38,56,liked,https://video-cdn.socialverseapp.com/afrobeezy_2685ed9a-fa21-45da-9383-129f13810719.mp4,2,All the best vibes!,Happy
19,johntest,60,flip the switch,79,27,64,liked,https://video-cdn.socialverseapp.com/afrobeezy_a8b7f0e4-6d54-4e17-97de-f7c2762e7f54.mp4,2,All the best vibes!,Happy
1,afrobeezy,83,Clarity brings power.,67,33,48,liked,https://video-cdn.socialverseapp.com/kinha_9c5f8806-b073-46e7-b0a1-634fc1410a93.mp4,2,All the best vibes!,Happy
9,mike,100,,74,37,43,liked,https://video-cdn.socialverseapp.com/kinha_571af3f9-91c2-43f3-8e23-35ad41ec1fcb.mp4,2,All the best vibes!,Happy
19,johntest,86,Revolutionizing Men's Mental Health: Your $0.99 Matters,129,29,32,liked,https://video-cdn.socialverseapp.com/kinha_64cc8197-8e8a-4a17-88d7-de97e3692324.mp4,2,All the best vibes!,Happy
31,Truth,135,,45,31,40,liked,https://video-cdn.socialverseapp.com/kinha_5efe6cf0-454c-4fcf-97ae-54115569ba33.mp4,2,All the best vibes!,Happy
31,Truth,131,,52,28,26,liked,https://video-cdn.socialverseapp.com/kinha_16142c01-a0bb-4f88-bd31-a3c4aeb8a1df.mp4,2,All the best vibes!,Happy
31,Truth,84,Just focus on today.,98,29,84,liked,https://video-cdn.socialverseapp.com/kinha_1cf00dde-a18e-4bbf-b74b-0c4a840c83f3.mp4,2,All the best vibes!,Happy
5,kinha,161,,96,10,43,liked,https://video-cdn.socialverseapp.com/kinha_05095717-e076-433e-aabb-41aa876e4724.mp4,2,All the best vibes!,Happy
5,kinha,177,New alarm clock,55,21,32,liked,https://video-cdn.socialverseapp.com/kinha_c3b85903-1e6d-4008-a124-3b860afa1d33.mp4,2,All the best vibes!,Happy
19,johntest,175,,70,28,54,liked,https://video-cdn.socialverseapp.com/kinha_4e2b259f-ddec-4f7e-87d1-31c49cd92d14.mp4,2,All the best vibes!,Happy
1,afrobeezy,100,,74,37,43,liked,https://video-cdn.socialverseapp.com/kinha_571af3f9-91c2-43f3-8e23-35ad41ec1fcb.mp4,2,All the best vibes!,Happy
5,kinha,216,,52,0,8,liked,https://video-cdn.socialverseapp.com/kinha_4d78e9d2-283f-40fe-a2b9-7187cf4b9aef.mp4,2,All the best vibes!,Happy
19,johntest,252,,51,31,34,liked,https://video-cdn.socialverseapp.com/kinha_060d55db-e9fa-4590-9e7f-77e8b5205d87.mp4,2,All the best vibes!,Happy
